TIME,SL,EEG,BP,HR,CIRCLUATION
10445.5,84668.3,-2.01E+03,25,220,3450
24511,474472,-1.07E+04,45,483,15505
5055.64,2870.85,-1199.41,47,67,224
9020.21,17476.2,-4127.4,30,183,931
8648.61,15678,-3176,77,125,889
6779.08,12811.6,-1540.87,31,96,804
9714.1,33873.2,-2.73E+03,56,234,1581
4911.72,2837.21,-1207.83,47,67,224
12894.8,60525,-4.78E+03,25,247,2754
10721.5,38062.2,-4162.48,129,205,1751
3736.8,1436.3,-634.175,33,40,100
13768.3,50902.1,-4.04E+03,47,234,2464
5993.3,4806,-1941,18,111,345
11059.1,68879.1,-5251.84,148,247,3373
16312.6,115767,-4.26E+03,55,271,4426
9434.08,38959,-4287.95,20,193,2118
9666.72,33029,-3402.85,87,176,1922
12626.8,72561.2,-5540.34,47,262,3211